rank;name;release_date;rating;votes;oscars;adjusted_rating
1;The Lord of the Rings: The Return of the King;2004-01-08;9.0;1828697;11;9.7
2;The Shawshank Redemption;1995-05-25;9.3;2652964;0;9.3
3;The Dark Knight;2008-08-07;9.0;2625257;2;9.3
4;Forrest Gump;1994-12-08;8.8;2055018;6;9.3
5;Inception;2010-07-22;8.8;2326709;4;9.0
6;The Godfather;1982-03-25;9.2;1838990;3;8.899999999999999
7;Schindler's List;1994-03-10;9.0;1344262;7;8.7
8;The Godfather Part II;1983-04-21;9.0;1260059;6;8.7
9;The Lord of the Rings: The Fellowship of the Ring;2002-01-10;8.8;1856432;4;8.600000000000001
10;The Matrix;1999-08-05;8.7;1896681;4;8.5
11;Star Wars;1979-08-16;8.6;1354455;6;8.399999999999999
12;Fight Club;2000-01-27;8.8;2098207;0;8.3
13;Pulp Fiction;1995-04-13;8.9;2030749;0;8.3
14;The Lord of the Rings: The Two Towers;2003-01-09;8.8;1651277;2;8.100000000000001
15;Gladiator;2000-05-18;8.5;1487113;5;7.9
16;The Silence of the Lambs;1992-03-27;8.6;1418747;5;7.8999999999999995
17;Saving Private Ryan;1998-09-17;8.6;1378986;5;7.8999999999999995
18;Interstellar;2014-11-06;8.6;1797616;0;7.8
19;The Departed;2006-11-09;8.5;1314411;4;7.7
20;Django Unchained;2013-01-17;8.4;1536297;2;7.6000000000000005
